,Short_Ticker,Name,Sector
156,ALP-Q,Alabama Power CO [Alp/Pq],Asda store workers win equal pay fight in Supreme Court
157,ALSN,Allison Transmission Holdings,Consumer Cyclical
158,ALT-A,Alta Equipment Group Inc,Asda store workers win equal pay fight in Supreme Court
159,ALT.W,Alta Equipment Group Inc [Altg/W],Asda store workers win equal pay fight in Supreme Court
160,ALTG,Alta Equipment Group Inc,Industrials
161,ALU.U,Alussa Energy Acquisition Corp [Alus.U],Asda store workers win equal pay fight in Supreme Court
162,ALU.W,Alussa Energy Acquisition Corp [Alus/W],Asda store workers win equal pay fight in Supreme Court
163,ALUS,Alussa Energy Acquisition Corp Cl A,Financial Services
164,ALV,Autoliv Inc,Consumer Cyclical
165,ALX,Alexander's Inc,Real Estate
166,AM,Antero Midstream Corp,Energy
167,AMB.W,Ambac Financial Group Inc WT [Ambc/W],Asda store workers win equal pay fight in Supreme Court
168,AMBC,Ambac Financial Group,Financial Services
169,AMC,Amc Entertainment Holdings Inc,Communication Services
170,AMCR,Amcor Plc,Consumer Cyclical
171,AME,Amtek Inc,Industrials
172,AMG,Affiliated Managers Group,Financial Services
173,AMH,American Homes 4 Rent,Real Estate
174,AMH-D,American Homes 4 Rent [Amh/Pd],Asda store workers win equal pay fight in Supreme Court
175,AMH-E,American Homes 4 Rent [Amh/Pe],Asda store workers win equal pay fight in Supreme Court
176,AMH-F,American Homes 4 Rent [Amh/Pf],Asda store workers win equal pay fight in Supreme Court
177,AMH-G,American Homes 4 Rent [Amh/Pg],Asda store workers win equal pay fight in Supreme Court
178,AMH-H,American Homes 4 Rent [Amh/Ph],Asda store workers win equal pay fight in Supreme Court
179,AMK,Assetmark Financial Holdings Inc,Financial Services
180,AMN,Amn Healthcare Services Inc,Healthcare
181,AMOV,America Movil A ADR,Communication Services
182,AMP,Ameriprise Financial Services,Financial Services
183,AMP.U,Advanced Merger Partners Inc [Ampi.U],Asda store workers win equal pay fight in Supreme Court
184,AMPY,Amplify Energy Corp,Energy
185,AMR,Alpha Metallurgical Resources Inc,Energy
186,AMRC,Ameresco Inc,Industrials
187,AMRX,Amneal Pharmaceuticals Inc,Healthcare
188,AMT,American Tower Corp,Real Estate
189,AMWL,American Well Corp Cl A,Healthcare
190,AMX,America Movil S.A.B. DE C.V.,Communication Services
191,AN,Autonation Inc,Consumer Cyclical
192,ANA.U,Arctos Northstar Acquisition Corp,Asda store workers win equal pay fight in Supreme Court
193,ANET,Arista Networks Inc,Technology
194,ANF,Abercrombie & Fitch Company,Consumer Cyclical
195,ANH,Anworth Mortgage Asset Corp,
196,ANH-A,Anworth Mortgage Asset Cp [Anh/Pa],Asda store workers win equal pay fight in Supreme Court
197,ANH-B,Anworth Mortgage Asset Cp [Anh/Pb],Asda store workers win equal pay fight in Supreme Court
198,ANH-C,Anworth Mortgage Asset Cp [Anh/Pc],Asda store workers win equal pay fight in Supreme Court
199,ANTM,Anthem Inc,Healthcare
200,AOD,Alpine Total Dynamic Dividend,Financial Services
201,AON,AON Plc,Financial Services
202,AON.U,One Unit 1 Com & 1/3 WT Exp [Aone.U],Asda store workers win equal pay fight in Supreme Court
203,AON.W,One Corp WT [Aone/W],Asda store workers win equal pay fight in Supreme Court
204,AONE,One Cl A,Financial Services
205,AOS,Smith A.O. Corp,Industrials
206,AP,Ampco-Pittsburgh Corp,Industrials
207,APAM,Artisan Partners Asset Mgmt,Financial Services
208,APD,Air Products and Chemicals,Basic Materials
209,APG,Api Group Corp,Industrials
210,APG.U,Apollo Strategic Growth Capital II,Asda store workers win equal pay fight in Supreme Court
211,APH,Amphenol Corp,Technology
212,APLE,Apple Hospitality REIT Inc,Real Estate
213,APO,Apollo Global Management Llc C,Financial Services
214,APO-A,Apollo Global Mgmt Inc [Apo/Pa],Asda store workers win equal pay fight in Supreme Court
215,APO-B,Apollo Global Mgmt Inc [Apo/Pb],Asda store workers win equal pay fight in Supreme Court
216,APRN,Blue Apron Holdings Inc,Consumer Cyclical
217,APS.U,Apollo Strategic Growth Capital Unit,Asda store workers win equal pay fight in Supreme Court
218,APS.W,Apollo Strategic Growth Capital [Apsg/W],Asda store workers win equal pay fight in Supreme Court
219,APSG,Apollo Strategic Growth Capital Cl A,Financial Services
220,APT-A,Aptiv Plc 5.5% Mandatory Cnv Ser A,Asda store workers win equal pay fight in Supreme Court
221,APTS,Preferred Apartment Communities,Real Estate
222,APTV,Aptiv Plc,Consumer Cyclical
223,AQN,Algonquin Pwr & Util,Utilities
224,AQNA,Algonquin Power & Utilities Corp,
225,AQNB,Algonquin Power & Utilities Corp 6.20%,
226,AQUA,Evoqua Water Technologies Corp,Industrials
227,AR,Antero Resources Corp,Energy
228,ARC,American Reprographics Company,Industrials
229,ARCH,Arch Resources Inc,Energy
230,ARCO,Arcos Dorados Holdings Inc,Consumer Cyclical
231,ARD,Ardagh Group S.A.,Consumer Cyclical
232,ARDC,Ares Dynamic Credit Allocation,Financial Services
233,ARE,Alexandria Real Estate Equities,Real Estate
234,ARE-A,Ares Management Corp [Ares/Pa],Asda store workers win equal pay fight in Supreme Court
235,ARES,Ares Management LP,Financial Services
236,ARG-A,Argo Group Intl Hldgs Ltd 7% Ser A,Asda store workers win equal pay fight in Supreme Court
237,ARGD,Argo Grp Itl Snr NTS,
238,ARGO,Argo Group Intl Hlds,Financial Services
239,ARI,Apollo Commercial Real Estate,Real Estate
240,ARL,American Realty Investors,Real Estate
241,ARLO,Arlo Technologies Inc,Industrials
242,ARMK,Aramark Holdings Corp,Consumer Cyclical
243,ARNC,Arconic Corp,Industrials
244,AROC,Archrock Inc,Energy
245,ARR,Armour Residential R,Real Estate
246,ARR-C,Armour Residential REIT Inc 7% Prf,Asda store workers win equal pay fight in Supreme Court
247,ARW,Arrow Electronics,Technology
248,ASA,ASA Gold and Precious Metals,Financial Services
249,ASA.P,Sendas Distribuidora S.A. Spon Ads,
250,ASA.U,Atlantic Avenue Acquisition Corp,Asda store workers win equal pay fight in Supreme Court
251,ASA.W,Atlantic Avenue Acquisition Corp,Asda store workers win equal pay fight in Supreme Court
252,ASAI,Sendas Distribuidora S.A. Spon Ads,
253,ASAN,Asana Inc Cl A,Technology
254,ASAQ,Atlantic Street Acquisition Corp Cl A,Financial Services
255,ASB,Associated Banc-Corp,Financial Services
256,ASB-C,Associated Banc-Corp [Asb/Pc],Asda store workers win equal pay fight in Supreme Court
257,ASB-D,Associated Banc-Corp [Asb/Pd],Asda store workers win equal pay fight in Supreme Court
258,ASB-E,Associated Banc-Corp [Asb/Pe],Asda store workers win equal pay fight in Supreme Court
259,ASB-F,Associated Banc-Corp,Asda store workers win equal pay fight in Supreme Court
260,ASC,Ardmore Shipping Corp,Industrials
261,ASG,Liberty All-Star Growth Fund,Financial Services
262,ASGI,Aberdeen Standard Global Infrastructure,
263,ASGN,On Assignment,Industrials
264,ASH,Ashland Global Holdings Inc,Basic Materials
265,ASIX,Advansix Inc,Basic Materials
266,ASP.U,Aspirational Consumer Lifestyl [Aspl.U],Asda store workers win equal pay fight in Supreme Court
267,ASP.W,Aspirational Consumer Lifestyl [Aspl/W],Asda store workers win equal pay fight in Supreme Court
268,ASPL,Aspirational Consumer Lifestyle Corp Cl,Financial Services
269,ASPN,Aspen Aerogels Inc,Industrials
270,ASR,Grupo Aeroportuario Del Sureste,Industrials
271,ASX,Ase Industrial Holding CO Ltd,Technology
272,ASZ.U,Austerlitz Acquisition Corporation II,Asda store workers win equal pay fight in Supreme Court
273,AT,Atlantic Power Corp,Utilities
274,ATA,Americas Technology Acquisition Corp,Financial Services
275,ATA.D,Altimar Acquisition Corp III [Ataq.U],Asda store workers win equal pay fight in Supreme Court
276,ATA.S,Altimar Acquisition Corp I [Atac.U],Asda store workers win equal pay fight in Supreme Court
277,ATA.T,Altimar Acquisition Corp I WT [Atac/W],Asda store workers win equal pay fight in Supreme Court
278,ATA.U,Americas Technology Acquisition Corp,Asda store workers win equal pay fight in Supreme Court
279,ATA.W,Americas Technology Acquisition Corp WT,Asda store workers win equal pay fight in Supreme Court
280,ATAC,Altimar Acquisition Corp Cl A,Financial Services
281,ATC,Atotech Limited,Technology
282,ATC-D,Atlas Corp [Atlas/Pd],Asda store workers win equal pay fight in Supreme Court
283,ATC-E,Atlas Corp [Atlas/Pe],Asda store workers win equal pay fight in Supreme Court
