Symbol,Name,Sector
AFBI,Affinity Bancshares Inc. Common Stock (MD),Finance
AFCG,AFC Gamma Inc. Common Stock,Finance
AFG,American Financial Group Inc. Common Stock,Finance
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,Finance
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,Finance
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,Finance
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,Finance
AFI,Armstrong Flooring Inc. Common Stock,Consumer Non-Durables
AFIB,Acutus Medical Inc. Common Stock,Health Care
AFIN,American Finance Trust Inc. Class A Common Stock,Consumer Services
AFINO,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,Consumer Services
AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,Consumer Services
AFL,AFLAC Incorporated Common Stock,Finance
AFMD,Affimed N.V.,Health Care
AFRM,Affirm Holdings Inc. Class A Common Stock,Miscellaneous
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,
AFYA,Afya Limited Class A Common Shares,Consumer Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Basic Industries
AGAC,African Gold Acquisition Corporation,
AGBA,AGBA Acquisition Limited Ordinary Share,Finance
AGBAR,AGBA Acquisition Limited Right,Finance
AGBAU,AGBA Acquisition Limited Unit,Finance
AGBAW,AGBA Acquisition Limited Warrant,Finance
AGC,Altimeter Growth Corp. Class A Ordinary Shares,Finance
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,Finance
AGCO,AGCO Corporation Common Stock,Capital Goods
AGCUU,Altimeter Growth Corp. Unit,Finance
AGCWW,Altimeter Growth Corp. Warrant,Finance
AGD,Aberdeen Global Dynamic Dividend Fund,
AGE,AgeX Therapeutics Inc. Common Stock,Health Care
AGEN,Agenus Inc. Common Stock,Health Care
AGFS,AgroFresh Solutions Inc. Common Stock,Basic Industries
AGFY,Agrify Corporation Common Stock,Consumer Non-Durables
AGGRU,Agile Growth Corp. Units,Finance
AGI,Alamos Gold Inc. Class A Common Shares,Basic Industries
AGIO,Agios Pharmaceuticals Inc. Common Stock,Health Care
AGLE,Aeglea BioTherapeutics Inc. Common Stock,Health Care
AGM,Federal Agricultural Mortgage Corporation Common Stock,Finance
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Technology
AGNC,AGNC Investment Corp. Common Stock,Consumer Services
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Consumer Services
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,Consumer Services
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,Consumer Services
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,Consumer Services
AGO,Assured Guaranty Ltd. Common Stock,Finance
AGO^B,Assured Guaranty Ltd.,
AGO^E,Assured Guaranty Ltd.,
AGO^F,Assured Guaranty Ltd.,
AGR,Avangrid Inc. Common Stock,Public Utilities
AGRO,Adecoagro S.A. Common Shares,Consumer Non-Durables
AGRX,Agile Therapeutics Inc. Common Stock,Health Care
AGS,PlayAGS Inc. Common Stock,Consumer Durables
AGTC,Applied Genetic Technologies Corporation Common Stock,Health Care
AGX,Argan Inc. Common Stock,Basic Industries
AGYS,Agilysys Inc. Common Stock,Technology
AHAC,Alpha Healthcare Acquisition Corp. Class A Common Stock,Finance
AHACU,Alpha Healthcare Acquisition Corp. Unit,Finance
AHACW,Alpha Healthcare Acquisition Corp. Warrant,Finance
AHC,A.H. Belo Corporation (TX) Common Stock,Consumer Services
AHCO,AdaptHealth Corp. Class A Common Stock,Health Care
AHH,Armada Hoffler Properties Inc. Common Stock,Finance
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,
AHPI,Allied Healthcare Products Inc. Common Stock,Health Care
AHT,Ashford Hospitality Trust Inc Common Stock,Consumer Services
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,
AI,C3.ai Inc. Class A Common Stock,Technology
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,Consumer Services
AIF,Apollo Tactical Income Fund Inc. Common Stock,
AIG,American International Group Inc. New Common Stock,Finance
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,Health Care
AIHS,Senmiao Technology Limited Common Stock,Finance
AIKI,AIkido Pharma Inc. Common Stock,Health Care
AIM,AIM ImmunoTech Inc. Common Stock,Health Care
AIMC,Altra Industrial Motion Corp. Common Stock,Capital Goods
AIN,Albany International Corporation Common Stock,Basic Industries
AINC,Ashford Inc. (Holding Company) Common Stock,Consumer Services
AINV,Apollo Investment Corporation Common Stock,
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,
AIR,AAR Corp. Common Stock,Capital Goods
AIRC,Apartment Income REIT Corp. Common Stock,Consumer Services
AIRG,Airgain Inc. Common Stock,Technology
AIRI,Air Industries Group Common Stock,Capital Goods
AIRT,Air T Inc. Common Stock,Transportation
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,Transportation
AIRTW,Air T Inc. Air T Funding Warrants to Purchase Alpha Income Trust Preferred Expiring 08/30/2021,Transportation
AIT,Applied Industrial Technologies Inc. Common Stock,Consumer Durables
AIV,Apartment Investment and Management Company Common Stock,Consumer Services
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023,Consumer Services
AIZ,Assurant Inc. Common Stock,Finance
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,Finance
AJAX,Ajax I Class A Ordinary Shares,Finance
AJG,Arthur J. Gallagher & Co. Common Stock,Finance
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,Capital Goods
AJX,Great Ajax Corp. Common Stock,Consumer Services
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,Consumer Services
AKAM,Akamai Technologies Inc. Common Stock,Miscellaneous
AKBA,Akebia Therapeutics Inc. Common Stock,Health Care
AKER,Akers Biosciences Inc. Common Stock,Health Care
AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares,Finance
AKICU,Sports Ventures Acquisition Corp. Unit,Finance
AKICW,Sports Ventures Acquisition Corp. Warrant,Finance
AKO/A,Embotelladora Andina S.A.,
AKO/B,Embotelladora Andina S.A.,
AKR,Acadia Realty Trust Common Stock,Consumer Services
AKRO,Akero Therapeutics Inc. Common Stock,Health Care
AKTS,Akoustis Technologies Inc. Common Stock,Public Utilities
AKTX,Akari Therapeutics plc ADR (0.01 USD),Health Care
AKU,Akumin Inc. Common Shares,Health Care
AKUS,Akouos Inc. Common Stock,Health Care
AL,Air Lease Corporation Class A Common Stock,Technology
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,
ALAC,Alberton Acquisition Corporation Ordinary Shares,Basic Industries
ALACR,Alberton Acquisition Corporation Rights exp April 26 2021,Basic Industries
ALACW,Alberton Acquisition Corporation Warrant,Basic Industries
ALB,Albemarle Corporation Common Stock,Basic Industries
ALBO,Albireo Pharma Inc. Common Stock,Health Care
